rest_seq,rest_name,rest_score,rest_tel,rest_addr,rest_attitude,rest_longtitude,rest_time,rest_comment,food_name,rest_menu2,rest_menu3,rest_menu4
97,김강심 칼국수,4.23,,,,,,,칼국수,,,
98,밀밭 해물 칼국수,4.5,,,,,,,칼국수,,,
99,세자매해물칼국수,4.6,,,,,,,칼국수,,,
100,산내들 칼국수,4.2,,,,,,,칼국수,,,
101,우산 바지락칼국수,4.1,,,,,,,칼국수,,,
102,신흥 바지락 칼국수,3.9,,,,,,,칼국수,,,
103,명동 칼국수,4.5,,,,,,,칼국수,,,
104,동명한우육회,4.4,,,,,,,한우육회,,,
105,매월한우촌,4.3,,,,,,,한우육회,,,
106,함평한우 육회비빔밥,4.8,,,,,,,한우육회,,,
107,한우육곰탕,4.2,,,,,,,한우육회,,,
108,금천한우정육식당,4.5,,,,,,,한우육회,,,
109,명품한우 육회비빔밥,4.7,,,,,,,한우육회,,,
